ID,Type,Fellowship Win Rate,Fellowship Games Played,Fellowship Rating,Movie Win Rate,Movie Games Played,Movie Rating,Expanded Win Rate,Expanded Games Played,Expanded Rating
Sunland Guard, drawDeck,,,N/A,,,N/A,0.36363636363636365,11,Redeemable
Sunland Skirmisher, drawDeck,,,N/A,,,N/A,,2,Unplayed
Sunland Sneak, drawDeck,,,N/A,,,N/A,,4,Trash
Sunland Trooper, drawDeck,,,N/A,,,N/A,,2,Unplayed
Sunland Warrior, drawDeck,,,N/A,,,N/A,,3,Trash
Vengeful Savage, drawDeck,,,N/A,,,N/A,,3,Trash
11_241, site,,,N/A,,,N/A,0.4897959183673469,49,High Play Rate with Average Strength
City of Kings, site,,,N/A,,,N/A,0.35714285714285715,28,Redeemable
Dwarven Warrior, drawDeck,,,N/A,,,N/A,0.18181818181818182,11,Trash
Thorin III: Stonehelm, drawDeck,,,N/A,,,N/A,0.3,10,Redeemable
Westfold Village, site,,,N/A,,,N/A,0.5588235294117647,68,High Play Rate with Average Strength
Lingering Shadow, drawDeck,,,N/A,,,N/A,0.3333333333333333,15,Redeemable
Dark Fell About Him, drawDeck,,,N/A,,,N/A,0.2857142857142857,7,Trash
Fear and Great Wonder, drawDeck,,,N/A,,,N/A,1,1,Unplayed
Mere of Dead Faces, site,,,N/A,,,N/A,0.43859649122807015,57,High Play Rate with Average Strength
Force of Uruk-hai, drawDeck,,,N/A,,,N/A,,4,Trash
Fortitude, drawDeck,,,N/A,,,N/A,0.2,15,Trash
11_190, drawDeck,,,N/A,,,N/A,0.42424242424242425,33,High Play Rate with Average Strength
Sudden Fury, drawDeck,,,N/A,,,N/A,0.3142857142857143,35,Redeemable
Frodo Gamgee: Son of Samwise, drawDeck,,,N/A,,,N/A,0.2222222222222222,18,Trash
Fearless Approach, drawDeck,,,N/A,,,N/A,0.1111111111111111,9,Trash
Chasing Uruk, drawDeck,,,N/A,,,N/A,0.16666666666666666,6,Trash
Poised for Assault, drawDeck,,,N/A,,,N/A,0.1111111111111111,9,Trash
Uruk Cavern Striker, drawDeck,,,N/A,,,N/A,,4,Trash
White Hand Intruder, drawDeck,,,N/A,,,N/A,0.125,8,Trash
Fury of the Evil Army, drawDeck,,,N/A,,,N/A,0.4861111111111111,72,High Play Rate with Average Strength
White Hand Marshal, drawDeck,,,N/A,,,N/A,0.25,16,Trash
Race Across the Mark, drawDeck,,,N/A,,,N/A,0.23076923076923078,13,Trash
Isengard Sword, drawDeck,,,N/A,,,N/A,0.5384615384615384,13,Average
A Shadow Rises, drawDeck,,,N/A,,,N/A,0.5833333333333334,24,Average
Theodred: Second Marshal of the Mark, drawDeck,,,N/A,,,N/A,0.6470588235294118,34,Meta Dominating Power Picks
Alatar Deceived, drawDeck,,,N/A,,,N/A,0.5357142857142857,28,Average
Spear of the Mark, drawDeck,,,N/A,,,N/A,0.6153846153846154,65,Meta Dominating Power Picks
Seeking Uruk, drawDeck,,,N/A,,,N/A,0.5454545454545454,11,Average
You Do Not Know Fear, drawDeck,,,N/A,,,N/A,0.543859649122807,114,High Play Rate with Average Strength
Banners Blowing, drawDeck,,,N/A,,,N/A,0.35,40,Redeemable
Aragorn: Well-traveled Guide, drawDeck,,,N/A,,,N/A,0.35714285714285715,28,Redeemable
Weapons of Control, drawDeck,,,N/A,,,N/A,0.5384615384615384,13,Average
Breeding Pit of Isengard, site,,,N/A,,,N/A,0.49333333333333335,75,High Play Rate with Average Strength
Nurn, site,,,N/A,,,N/A,0.6153846153846154,26,Meta Dominating Power Picks
Houses of Healing, drawDeck,,,N/A,,,N/A,0.42105263157894735,38,High Play Rate with Average Strength
11_65, drawDeck,,,N/A,,,N/A,0.5454545454545454,22,Average
Shadowfax: Roaring Wind, drawDeck,,,N/A,,,N/A,0.6666666666666666,3,Sleeper or Niche Power Picks
Aragorn: Isildur's Heir, drawDeck,,,N/A,,,N/A,0.5714285714285714,7,Low Play Rate with Average Strength
Kings' Legacy, drawDeck,,,N/A,,,N/A,0.3333333333333333,33,Redeemable
15_171, drawDeck,,,N/A,,,N/A,0.38461538461538464,13,Redeemable
Ugluk's Sword: Weapon of Command, drawDeck,,,N/A,,,N/A,0.6666666666666666,3,Sleeper or Niche Power Picks
Gandalf: Returned, drawDeck,,,N/A,,,N/A,0.4423076923076923,52,High Play Rate with Average Strength
Throne of Minas Tirith, drawDeck,,,N/A,,,N/A,0.47368421052631576,38,High Play Rate with Average Strength
Elendil's Army, drawDeck,,,N/A,,,N/A,0.25925925925925924,27,Trash
