ID,Type,Fellowship Win Rate,Fellowship Games Played,Fellowship Rating,Movie Win Rate,Movie Games Played,Movie Rating,Expanded Win Rate,Expanded Games Played,Expanded Rating
Light the Beacons, drawDeck,,,N/A,1,1,Unplayed,0.4444444444444444,18,Average
A Fool, drawDeck,,,N/A,0.25,16,Trash,,,N/A
Shelob: Last Child of Ungoliant, drawDeck,,,N/A,0.5,4,Unplayed,0.3333333333333333,3,Redeemable
Southron Traveler, drawDeck,,,N/A,,1,Unplayed,0.3333333333333333,18,Redeemable
On Your Doorstep, drawDeck,,,N/A,0.5,54,Average,0.6666666666666666,3,Sleeper or Niche Power Picks
101_16*, drawDeck,,,N/A,0.8064516129032258,31,Sleeper or Niche Power Picks,,,N/A
6_25*, drawDeck,,,N/A,0.8064516129032258,31,Sleeper or Niche Power Picks,,,N/A
Peril, drawDeck,,,N/A,0.38095238095238093,21,Redeemable,,,N/A
Gorgoroth Engineer, drawDeck,,,N/A,0.5,42,Low Play Rate with Average Strength,,,N/A
Gorgoroth Officer, drawDeck,,,N/A,0.35,20,Redeemable,,4,Trash
Denethor: Wizened Steward, drawDeck,,,N/A,0.3333333333333333,18,Redeemable,0.6666666666666666,3,Sleeper or Niche Power Picks
New Fear, drawDeck,,,N/A,,3,Unplayed,1,3,Sleeper or Niche Power Picks
0_34*, drawDeck,,,N/A,0.5806451612903226,31,Low Play Rate with Average Strength,,,N/A
8_1*, drawDeck,,,N/A,0.6,30,Sleeper or Niche Power Picks,,,N/A
We Hates Them, drawDeck,,,N/A,0.4,5,Unplayed,,,N/A
Echoes of Valinor, drawDeck,,,N/A,,2,Unplayed,0.25,4,Trash
Beyond All Hope, drawDeck,,,N/A,0.2857142857142857,7,Unplayed,0.1111111111111111,9,Trash
4_64*, drawDeck,,,N/A,0.2857142857142857,7,Unplayed,,,N/A
Hope Comes, drawDeck,,,N/A,0.2222222222222222,9,Trash,0.2,5,Trash
9_15*, drawDeck,,,N/A,0.375,8,Unplayed,,,N/A
6_121*, drawDeck,,,N/A,1,2,Unplayed,,,N/A
Support of the City, drawDeck,,,N/A,1,2,Unplayed,0.5,2,Unplayed
Unexpected Visitor, drawDeck,,,N/A,1,2,Unplayed,,,N/A
Called, drawDeck,,,N/A,1,2,Unplayed,,,N/A
Feel His Blade, drawDeck,,,N/A,1,2,Unplayed,,,N/A
Pippin: Wearer of Black and Silver , drawDeck,,,N/A,0.8888888888888888,9,Sleeper or Niche Power Picks,,,N/A
Uruk Defender, drawDeck,,,N/A,,2,Unplayed,0.4117647058823529,17,Average
Southron Scout, drawDeck,,,N/A,,1,Unplayed,0.35294117647058826,17,Redeemable
Southron Soldier, drawDeck,,,N/A,,1,Unplayed,,1,Unplayed
